well_id,FieldIndex,x_micrometer,y_micrometer,z_micrometer,pixel_size_z,z_pixel,Time,pixel_size_x,pixel_size_y,x_pixel,y_pixel,bit_depth,x_micrometer_original,y_micrometer_original
D07,1,-1332.6,-1883.6,0,1.0,247,2022-05-30 23:08:28.134000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1332.6,-1883.6
D07,2,294.7,-1683.4,0,1.0,247,2022-05-30 23:10:47.324000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,294.7,-1683.4
D07,3,-286.4,253.9,0,1.0,247,2022-05-30 23:13:05.195000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-286.4,253.9
D07,4,682.2,809.3,0,1.0,247,2022-05-30 23:16:23.940000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,682.2,809.3
D07,5,1392.6,1170.9,0,1.0,247,2022-05-30 23:18:41.447000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1392.6,1170.9
D07,6,2070.7,1351.8,0,1.0,247,2022-05-30 23:20:59.078000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2070.7,1351.8
E02,1,-1280.9,-2342.1,0,1.0,247,2022-05-30 23:29:20.177000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1280.9,-2342.1
E02,2,1825.3,-1321.8,0,1.0,247,2022-05-30 23:31:38.877000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1825.3,-1321.8
E02,3,-2088.2,-650.1,0,1.0,247,2022-05-30 23:33:56.249000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2088.2,-650.1
E02,4,2593.8,-417.6,0,1.0,247,2022-05-30 23:36:13.796000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2593.8,-417.6
E02,5,966.3,-249.7,0,1.0,247,2022-05-30 23:38:30.926000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,966.3,-249.7
E02,6,1941.5,1313.0,0,1.0,247,2022-05-30 23:40:48.400000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1941.5,1313.0
E02,7,-396.2,1597.2,0,1.0,247,2022-05-30 23:43:05.710000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-396.2,1597.2
E02,8,-1578.0,1706.9,0,1.0,247,2022-05-30 23:45:23.098000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1578.0,1706.9
E03,1,365.8,-1431.6,0,1.0,247,2022-05-30 23:57:20.299000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,365.8,-1431.6
E03,2,-2023.6,-546.8,0,1.0,247,2022-05-30 23:59:38.663000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2023.6,-546.8
E03,3,1321.5,-456.4,0,1.0,247,2022-05-31 00:01:56.163000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1321.5,-456.4
E03,4,-1016.2,802.8,0,1.0,247,2022-05-31 00:04:13.312000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1016.2,802.8
E03,5,1528.2,1603.6,0,1.0,247,2022-05-31 00:06:30.623000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1528.2,1603.6
E04,1,2186.9,-1489.7,0,1.0,247,2022-05-31 00:14:02.668000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2186.9,-1489.7
E04,2,-1268.0,-1037.6,0,1.0,247,2022-05-31 00:16:21.090000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1268.0,-1037.6
E04,3,637.0,-243.3,0,1.0,247,2022-05-31 00:18:37.611000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,637.0,-243.3
E04,4,792.0,1158.0,0,1.0,247,2022-05-31 00:20:54.440000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,792.0,1158.0
E04,5,-1029.1,1842.6,0,1.0,247,2022-05-31 00:23:10.993000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1029.1,1842.6
E04,6,-92.7,1849.0,0,1.0,247,2022-05-31 00:25:27.715000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-92.7,1849.0
E05,1,1747.8,-1573.6,0,1.0,247,2022-05-31 00:35:51.301000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1747.8,-1573.6
E05,2,-887.0,-385.4,0,1.0,247,2022-05-31 00:38:10.963000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-887.0,-385.4
